order_id,customer_name,product_name,category,quantity,unit_price,order_date,country
1,Lea Bauer,Lumen Lounge Chair Max,Furniture,2,573,2026-01-12,Germany
2,Michael Wilson,Granite Mouse Lite,Electronics,1,49,2026-01-23,USA
3,Ethan Smith,Granite Monitor Stand 300,Furniture,2,69,2026-01-12,Canada
4,Matthias Meyer,Zephyr Label Printer Max,Electronics,4,374,2026-01-12,Germany
5,Mia Brown,Summit Bar Stool X,Furniture,2,108,2026-01-27,Canada
6,Nathan Brown,Onyx Drawer Unit S1,Furniture,2,178,2026-01-29,Canada
7,Harry Williams,Beacon Bench Max,Furniture,1,354,2026-01-16,UK
8,Charlie Smith,Summit Printer Plus,Electronics,4,339,2026-01-22,UK
9,Jonas Wagner,Atlas Monitor Max,Electronics,1,311,2026-01-22,Germany
10,Emily Brown,Xenon Sofa S1,Furniture,5,1007,2026-01-11,UK
11,Jonas Schulz,Tundra UPS Battery Lite,Electronics,3,247,2026-01-07,Germany
12,Ava Davis,Atlas Whiteboard X,Furniture,3,115,2026-01-19,USA
13,Jack Roberts,Tundra Smartwatch Plus,Electronics,2,108,2026-01-26,UK
14,Charlie Roberts,Aster Scanner 100,Electronics,5,88,2026-01-25,UK
15,James Taylor,Tundra Bar Stool 100,Furniture,2,60,2026-01-19,USA
16,Lucas Gagnon,Helio Meeting Table Max,Furniture,2,1298,2026-01-26,Canada
17,Isla Davies,Yarrow Printer 300,Electronics,2,443,2026-01-31,UK
18,Matthias Meyer,Juniper Power Bank 100,Electronics,3,99,2026-01-07,Germany
19,Sophia Moore,Orion Monitor 300,Electronics,3,521,2026-01-11,USA
20,Benjamin Roy,Beacon Smartwatch Lite,Electronics,2,683,2026-01-13,Canada
21,David Brown,Harbor UPS Battery 200,Electronics,5,701,2026-01-13,USA
22,Zoe Gagnon,Willow TV Stand Plus,Furniture,3,488,2026-01-12,Canada
23,Emma Moore,Nimbus Barcode Scanner S2,Electronics,1,83,2026-01-08,USA
24,David Davis,Tundra Capture Card Pro,Electronics,5,397,2026-01-07,USA
25,Liam Smith,Atlas Standing Desk 200,Furniture,5,1285,2026-01-13,Canada
26,Jonas Koch,Yarrow SSD Drive S1,Electronics,5,367,2026-01-29,Germany
27,Freya Davies,Ember Docking Station S2,Electronics,1,314,2026-01-14,UK
28,Noah Brown,Willow TV Stand 300,Furniture,3,518,2026-01-21,Canada
29,Charlotte Wilson,Delta NAS Enclosure Lite,Electronics,3,1027,2026-01-31,USA
30,James Brown,Vertex Desk 300,Furniture,5,459,2026-01-29,USA
31,Sophie Schmidt,Xenon Bookshelf Pro,Furniture,1,181,2026-01-08,Germany
32,Emily Jones,Rowan Sofa 100,Furniture,2,2012,2026-01-06,UK
33,Charlotte Smith,Verdant Capture Card 100,Electronics,1,81,2026-01-28,USA
34,Benjamin Smith,Vertex Keyboard X,Electronics,2,192,2026-01-09,Canada
35,Zoe Tremblay,Nova Headphones Plus,Electronics,3,38,2026-01-21,Canada
36,Chloe Wilson,Juniper Coffee Table Max,Furniture,2,418,2026-01-27,Canada
37,Charlie Evans,Aurora Power Bank Lite,Electronics,4,111,2026-01-21,UK
38,Mia Lee,Kestrel Smartphone 300,Electronics,1,347,2026-01-15,Canada
39,Lukas Schulz,Juniper Console Table X,Furniture,5,141,2026-01-12,Germany
40,Lukas Wagner,Quartz Webcam 300,Electronics,2,189,2026-01-07,Germany
41,Hans Koch,Basalt Monitor Stand 200,Furniture,5,98,2026-01-12,Germany
42,Grace Evans,Cobalt Wardrobe S2,Furniture,5,915,2026-01-09,UK
43,Nathan Lee,Lumen Microphone Max,Electronics,4,417,2026-01-11,Canada
44,Mila Wagner,Fjord Meeting Table Plus,Furniture,3,914,2026-01-18,Germany
45,Nathan Brown,Pioneer Label Printer Pro,Electronics,1,142,2026-01-06,Canada
46,Benjamin Gagnon,Quill Webcam 200,Electronics,2,215,2026-01-11,Canada
47,Charlotte Jackson,Slate Power Bank 100,Electronics,4,61,2026-01-10,USA
48,Isla Wilson,Delta Projector S2,Electronics,4,401,2026-01-30,UK
49,Anna Schulz,Kestrel Meeting Table Pro,Furniture,1,1202,2026-01-07,Germany
50,John Taylor,Atlas Cabinet X,Furniture,4,566,2026-01-11,USA
51,Ella Smith,Basalt Recliner Plus,Furniture,4,975,2026-01-05,Canada
52,Noah Johnson,Umber Wardrobe X,Furniture,3,869,2026-01-18,Canada
53,Nathan Brown,Atlas Graphics Card Pro,Electronics,2,391,2026-01-06,Canada
54,Lea Schmidt,Fjord Desk S2,Furniture,1,531,2026-01-23,Germany
55,Ella Martin,Larch Whiteboard S2,Furniture,2,125,2026-01-06,Canada
56,Anna Muller,Nimbus Reception Desk Plus,Furniture,5,1921,2026-01-07,Germany
